kab,penerimaan,pengeluaran,jumlah_art
Bengkulu Tengah,26440000,26394000,3
Bengkulu Tengah,8368520,39392854.14,3
Bengkulu Tengah,48270000,52323142.86,5
Bengkulu Tengah,4627511,7107942.857,1
Bengkulu Tengah,45851000,52914000,4
Bengkulu Tengah,68980072,53112857.14,4
Bengkulu Tengah,41600000,72037142.86,3
Bengkulu Tengah,22738571,26794428.57,3
Kaur,146000000,17442857.14,2
Kota Bengkulu,47900000,80414285.71,5
Bengkulu Tengah,5984534,8222142.857,1
Kaur,473820000,124816000,3
Bengkulu Tengah,11236000,14978571.43,3
Bengkulu Tengah,8840000,22742857.14,8
Bengkulu Tengah,17364000,20878485.71,3
Bengkulu Tengah,12200000,11067714.29,2
Bengkulu Tengah,30500000,18771714.29,3
Bengkulu Tengah,6827500,34200142.86,4
Bengkulu Tengah,21320000,22107857.14,3
Bengkulu Tengah,46800000,35793857.14,3
Bengkulu Tengah,30693720,43189428.57,3
Bengkulu Tengah,7600000,46235142.86,2
Bengkulu Tengah,38814286,29679714.29,4
Bengkulu Tengah,27383031,16187142.86,2
Bengkulu Tengah,245609176,255220571.4,4
Bengkulu Tengah,52860000,29695857.14,3
Bengkulu Tengah,44450000,46480642.86,8
Bengkulu Tengah,24017070,25348285.71,4
Bengkulu Tengah,37707469,23345428.57,3
Kaur,39984000,36526500,3
Bengkulu Tengah,68480000,56508857.14,5
Bengkulu Tengah,4100000,9136285.714,1
Bengkulu Tengah,9200712,21266428.57,6
Kota Bengkulu,36300000,39563714.29,2
Bengkulu Tengah,29845284,26867142.86,2
Bengkulu Tengah,58470821,56479142.86,4
Kaur,37790000,25844428.57,4
Kaur,40770500,28818000,4
Kaur,34500000,38152142.86,3
Kaur,12300000,16137142.86,2
Kaur,19665000,27812714.29,4
Bengkulu Tengah,17205000,39713142.86,4
Kaur,39444000,22324571.43,5
Bengkulu Tengah,18792395,17522857.14,3
Kota Bengkulu,26200000,26470000,3
Bengkulu Tengah,48000000,49348857.14,3
Bengkulu Tengah,42816000,32725857.14,3
Kota Bengkulu,46800000,24501857.14,2
Kaur,122600000,74384000,5
Kota Bengkulu,17450000,17674000,3
Bengkulu Tengah,49095000,37506142.86,4
Bengkulu Tengah,20784916,28620000,3
Bengkulu Tengah,6704364,35700000,3
Bengkulu Tengah,13010000,15574428.57,3
Kota Bengkulu,98675000,79242857.14,3
Bengkulu Tengah,71035000,27585142.86,3
Bengkulu Tengah,47263000,51239857.14,5
Kaur,25464000,25422142.86,4
Kaur,25820000,29686285.71,4
Bengkulu Tengah,49090000,46219428.57,6
Bengkulu Tengah,4550756,17152857.14,4
Kaur,102720000,76563094.57,4
Kaur,39150000,29376285.71,5
Bengkulu Tengah,20153779,25432865.14,4
Bengkulu Tengah,25522935,35720571.43,5
Bengkulu Tengah,137730000,102630428.6,5
Bengkulu Tengah,85623000,80871085.71,3
Kota Bengkulu,33071428,12667428.57,1
Bengkulu Tengah,19887000,18490000,3
Kota Bengkulu,28900000,39020000,5
Bengkulu Tengah,32248091,40325000,4
Bengkulu Tengah,54950000,54431428.57,5
Bengkulu Tengah,37550000,54322714.29,5
Kaur,45118000,46100714.29,4
Kaur,20545000,19783214.29,4
Bengkulu Tengah,16525000,36955285.71,5
Kaur,35374000,37193000,5
Bengkulu Tengah,3600000,19169285.71,5
Bengkulu Tengah,57000000,92140428.57,4
Bengkulu Tengah,49900000,36314285.71,6
Kaur,36378751,53629714.29,2
Bengkulu Tengah,22575000,21037142.86,4
Kaur,22830000,40913857.14,4
Bengkulu Tengah,42100580,31763357.14,3
Bengkulu Tengah,11647428,11832571.43,1
Bengkulu Tengah,70280000,46945285.71,3
Kaur,23200000,27574285.71,4
Kaur,23267000,34579428.57,2
Bengkulu Tengah,2184593,9382285.714,2
Kota Bengkulu,23714000,17386982.86,3
Bengkulu Tengah,60030000,49792142.86,6
Bengkulu Tengah,39950000,39477714.29,4
Bengkulu Tengah,35715000,47357142.86,3
Bengkulu Tengah,34519000,32846285.71,5
Bengkulu Tengah,16627500,10438714.29,2
Bengkulu Tengah,4507645,53467571.43,4
Bengkulu Tengah,16275000,19731428.57,5
Kota Bengkulu,21400000,14684285.71,1
Kaur,63818572,24442000,6
Bengkulu Tengah,27675334,47013857.14,3
Bengkulu Tengah,66910000,33622285.71,3
Bengkulu Tengah,45550000,41801428.57,4
Kaur,37873334,23258135.71,5
Bengkulu Tengah,36224000,33985000,4
Bengkulu Tengah,17400000,19541142.86,3
Bengkulu Tengah,26626000,34332114.29,6
Bengkulu Tengah,43468000,78691571.43,3
Bengkulu Tengah,8800000,25669142.86,3
Bengkulu Tengah,12720000,24955857.14,3
Bengkulu Tengah,14095382,30265571.43,3
Bengkulu Tengah,17250000,15641428.57,3
Bengkulu Tengah,16135000,32824428.57,3
Bengkulu Tengah,24269068,42098000,6
Bengkulu Tengah,27632000,38026571.43,5
Bengkulu Tengah,17850000,14864714.29,3
Kota Bengkulu,41860000,29713714.29,4
Bengkulu Tengah,42600000,50703214.29,4
Kaur,34100000,28378285.71,2
Bengkulu Tengah,63250000,34221714.29,8
Kaur,16620000,20318714.29,3
Bengkulu Tengah,6739148,29741428.57,4
Bengkulu Tengah,32896000,28060428.57,3
Bengkulu Tengah,27923602,47474285.71,4
Kaur,10138960,38648571.43,7
Bengkulu Tengah,6656000,15081571.43,2
Bengkulu Tengah,17900000,21679285.71,3
Bengkulu Tengah,61800000,38313714.29,5
Bengkulu Tengah,31815000,33630000,3
Kota Bengkulu,70290000,55161285.71,4
Bengkulu Tengah,23450000,44058857.14,6
Bengkulu Tengah,31861000,31838714.29,3
Bengkulu Tengah,17300000,50375714.29,4
Bengkulu Tengah,21850000,17506428.57,3
Bengkulu Tengah,41448000,28739428.57,4
Bengkulu Tengah,16725000,30717285.71,6
Kaur,88786000,33696285.71,7
Kota Bengkulu,30630000,54813428.57,3
Bengkulu Tengah,50800000,49969142.86,4
Bengkulu Tengah,17033000,25111177.14,5
Bengkulu Tengah,10310000,6289285.714,2
Bengkulu Tengah,35277142,45933571.43,6
Bengkulu Tengah,24884000,32759142.86,3
Bengkulu Tengah,78050000,81753171.43,5
Kaur,21263591,21855500,3
Kaur,47337000,42598571.43,4
Bengkulu Tengah,8160000,25479714.29,2
Bengkulu Tengah,42420000,31179285.71,5
Bengkulu Tengah,9986000,25769857.14,4
Bengkulu Tengah,15400000,26372857.14,3
Kaur,34415000,15949714.29,2
Bengkulu Tengah,55200000,18927714.29,5
Bengkulu Tengah,114105000,43873857.14,4
Kota Bengkulu,18450000,38121857.14,5
Bengkulu Tengah,40676000,45756000,6
Kota Bengkulu,72970000,56897428.57,1
