pend_krt,jumlah_art,penerimaan,pengeluaran
1,1,10440000,28562571.43
1,1,54800000,45086000
1,1,20240000,20974285.71
1,1,7301143,12020571.43
1,1,53708000,156892285.7
1,1,15200000,18990000
1,1,15582827,24333714.29
1,1,16180000,39402000
1,1,85559000,24462857.14
1,1,15920000,17967142.86
1,1,32560000,13459714.29
1,1,23840000,42988571.43
1,1,30002000,24760428.57
1,1,22210152,29526000
1,1,20096000,30647571.43
1,1,57370000,57070857.14
1,1,43400000,41457857.14
1,1,37016000,35906571.43
1,1,26770000,30355714.29
1,1,207600000,48688285.71
1,1,35101428,34936571.43
1,1,11870668,18154857.14
1,1,50700000,48829571.43
1,1,53700000,69128000
1,1,2287134,21499571.43
1,1,9600000,16857142.86
1,1,57000000,45664857.14
1,1,33340000,90890428.57
1,1,47178110,50503285.71
1,1,21190000,29441714.29
1,1,20400000,31418214.29
1,1,95191182,99305000
1,1,14400000,35003714.29
1,1,91500000,91324428.57
1,1,17920000,13431428.57
1,1,12511429,12327142.86
1,1,34740423,40081071.43
1,1,36300000,38109428.57
1,1,105807142,44215680
1,1,51814000,54495142.86
1,1,86762000,99399257.14
1,1,69505714,30756857.14
1,1,37976818,35624571.43
1,1,26520000,36993493.43
1,1,18800000,18448571.43
1,1,11750000,20775428.57
1,1,31933500,27973428.57
1,1,71515000,31943502.86
1,1,21465625,19576714.29
1,1,10600000,26396571.43
1,1,16750000,32687571.43
1,1,7060000,14490571.43
1,1,15976889,20746125.71
1,1,61482000,55901857.14
1,1,36681000,28857571.43
1,1,23965142,24060428.57
1,1,12758509,15666428.57
1,1,66942857,42280142.86
1,1,26900000,20656428.57
1,1,54796000,47062285.71
1,1,29097142,32602982.86
1,1,30520000,29217000
1,1,15200000,14702857.14
1,1,27035000,29504000
1,1,66690000,46948857.14
1,1,25300000,25752000
1,1,128461511,43188857.14
1,1,59070000,51135856.14
1,1,9400000,9290714.286
1,1,90500000,45857571.43
1,1,52100000,45384285.71
1,1,28600000,26790000
1,1,54500000,48669857.14
1,1,62200000,47607571.43
1,1,14642857,27902000
1,1,52114103,29278571.43
1,1,26828000,27238150
1,1,24304858,27930785.71
1,1,22748571,18276142.86
1,1,10540866,19172000
1,1,93750000,75825714.29
1,1,323000000,92308428.57
1,1,43950000,46376428.57
1,1,82644581,98763906.29
1,1,58800000,39751714.29
1,1,14381441,24639714.29
1,1,31600000,51318285.71
1,1,20090000,24391428.57
1,1,53400000,64007714.29
1,1,19850000,21841142.86
1,1,29660000,25786000
1,1,27520000,28935857.14
1,1,31520000,28400571.43
1,1,35400000,28000285.71
1,1,87000000,67851428.57
1,1,19931000,24413000
1,1,18375000,7698428.571
1,1,27532000,21016714.29
1,1,8740000,8262857.143
1,1,14590000,14508571.43
1,1,26180000,22486714.29
1,1,35937000,31962428.57
1,1,22499247,18090571.43
1,1,26085250,22596142.86
1,1,10461857,10109571.43
1,1,33266857,34367428.57
1,1,23609000,23188000
1,2,10538371,29373142.86
1,2,40551796,44350285.71
1,2,4574930,39407142.86
1,2,15889285,23619885.71
1,2,30830000,58990000
1,2,54885714,54693142.86
1,2,35184000,34256000
1,2,15890000,35357142.86
1,2,17281838,36263857.14
1,2,27892000,46693142.86
1,2,35125000,34207785.71
1,2,141400000,93144142.86
1,2,43400000,114105714.3
1,2,903400000,23074285.71
1,2,22900000,28474857.14
1,2,39331182,59251428.57
1,2,28152536,36072000
1,2,45860142,46834714.29
1,2,1715000,28110571.43
1,2,54277000,32467285.71
1,2,56100000,38188857.14
1,2,11020000,16876785.71
1,2,54000000,23606571.43
1,2,29000000,68576857.14
1,2,48265000,79856680
1,2,27807557,33768571.43
1,2,15950000,17688714.29
1,2,18940000,24659428.57
1,2,32800000,24659142.86
1,2,77582038,71454840
1,2,3431533,42388142.86
1,2,24282000,40471714.29
1,2,31628572,31992142.86
1,2,61066000,57712714.29
1,2,21850000,20855714.29
1,2,75250000,73382857.14
1,2,21107557,34944285.71
1,2,75920000,65820000
1,2,22920000,22906857.14
1,2,32380000,37153714.29
1,2,36964286,29992714.29
1,2,19240000,21219714.29
1,2,8200000,28262285.71
1,2,11960937,14448571.43
1,2,19928000,26842571.43
1,2,16598000,14753428.57
1,2,34511000,25628285.71
1,2,35545000,36147857.14
1,2,37803000,52217142.86
1,2,22760000,50631994.29
1,2,72500000,62101142.86
1,2,44830000,42315857.14
1,2,19225000,46907000
1,2,42235000,33132714.29
